0,900,900,74,3,675,72,44,25,850,100,39,32,134
1,875,900,100,4,650,63,19,23,850,100,34,72,132
2,900,900,72,1,600,62,23,13,825,56,30,37,46
3,21,18,131,3,12,116,43,25,23,275,21,69,287
4,125,265,734,1,24,206,265,24,23,800,214,231,875
5,100,41,486,1,12,156,122,19,22,648,87,171,570
6,50,29,254,3,12,116,81,25,25,394,45,162,366
7,14,10,157,4,650,76,34,23,850,124,38,78,145
8,37,51,284,3,10,198,150,20,850,450,140,191,511
9,125,265,731,1,24,206,265,24,23,800,213,230,875
10,875,11,36,1,600,65,900,14,25,119,11,57,122
11,65,100,492,1,13,152,145,22,13,717,79,176,462
12,22,21,216,4,650,113,51,23,12,148,57,125,291
13,13,14,121,1,625,84,43,14,25,325,31,89,253
14,900,900,21,1,600,60,900,14,50,75,900,31,73
15,875,11,38,1,625,45,900,14,850,27,18,23,52
16,125,275,721,1,23,212,263,24,24,817,219,233,884
17,875,11,36,1,600,64,900,14,50,120,11,57,122
18,875,900,100,4,650,62,18,23,850,100,34,72,132
19,100,44,467,1,13,165,137,22,100,635,78,153,482
20,23,19,139,3,12,119,44,25,23,275,22,68,284
21,34,13,271,1,625,86,55,14,850,400,28,92,292
22,900,900,900,3,675,900,900,25,850,900,900,900,900
23,15,12,77,4,675,37,11,25,850,125,10,68,100
24,900,900,40,3,675,26,900,25,20,32,11,10,28
25,900,900,32,1,575,30,900,8,825,900,900,12,14
26,14,900,157,4,650,70,35,23,850,100,38,78,143
27,175,490,900,3,27,247,409,25,300,900,359,359,875
28,875,900,32,1,625,28,900,14,825,15,900,18,19
29,10,900,48,1,600,29,19,13,825,42,19,27,73
30,20,19,149,1,625,69,35,14,850,275,23,66,226
31,64,118,503,1,13,147,145,22,13,716,77,175,465
32,900,10,27,1,600,27,20,13,825,31,19,22,56
33,38,37,262,2,11,120,99,22,75,500,86,134,370
34,900,900,24,1,575,23,900,8,825,900,900,11,13
35,36,28,215,1,625,125,84,17,25,350,51,115,271
36,64,43,502,1,12,151,146,19,850,675,76,167,504
37,875,900,100,4,650,63,18,23,850,100,34,72,132
38,28,31,168,3,650,148,84,21,850,275,69,167,375
39,14,11,163,4,650,76,35,23,850,125,40,80,144
40,875,13,129,4,675,70,27,24,12,68,34,62,170
41,900,900,30,1,575,36,900,8,825,25,14,11,20
42,16,11,164,4,650,78,37,23,850,125,40,82,149
43,64,100,498,1,13,149,144,22,13,716,76,176,459
44,100,125,595,3,19,157,198,25,225,832,142,177,546
45,21,19,154,1,625,67,35,14,850,275,23,66,229
46,21,29,163,1,650,73,34,24,22,275,21,60,179
47,45,48,309,3,625,182,133,20,14,415,117,190,490
48,900,900,40,3,675,29,900,25,25,35,12,11,41
49,75,100,488,1,13,151,145,22,13,717,78,175,467
50,48,28,225,3,14,92,67,25,850,324,27,113,270
51,14,10,158,4,650,78,35,23,850,121,38,79,143
52,875,875,27,3,675,32,900,25,850,11,900,900,14
53,875,14,46,3,675,53,12,25,850,68,22,31,54
54,12,14,61,3,675,75,13,23,850,99,11,59,115
55,900,900,71,3,675,72,44,25,850,72,36,32,130
56,900,900,10,3,675,60,900,25,850,31,900,18,21
57,900,900,30,1,600,27,900,14,825,13,900,15,18
58,34,13,271,1,625,86,55,14,850,400,28,92,292
59,100,35,362,3,14,140,113,25,29,525,55,201,461
60,875,13,69,1,625,87,23,14,25,250,19,61,162
61,15,10,106,3,675,77,23,23,850,175,22,97,153
62,21,18,127,3,12,118,42,25,23,274,21,69,287
63,875,11,36,1,600,64,900,14,50,120,11,57,122
64,38,37,262,2,11,120,100,22,75,500,86,134,370
65,875,900,87,4,650,57,16,23,850,100,33,64,120
66,875,17,47,3,600,58,900,19,850,114,900,17,36
67,875,13,70,3,650,76,17,21,850,100,19,82,138
68,41,27,256,3,24,136,96,25,850,444,35,84,337
69,875,900,19,4,675,56,900,25,825,54,10,51,102
70,21,37,119,3,625,83,42,20,850,125,42,68,183
71,38,51,284,3,10,198,150,20,850,450,140,191,511
72,21,18,132,3,12,118,42,25,23,275,20,69,287
73,12,900,86,3,675,67,34,25,850,125,27,40,102
74,12,900,70,3,675,103,44,25,850,125,38,42,127
75,21,19,157,1,625,69,39,14,850,300,25,70,238
76,875,12,48,3,675,83,20,25,850,125,19,70,155
77,850,14,58,3,550,46,20,19,850,75,18,47,60
78,900,900,74,3,675,69,44,25,850,66,39,29,125
79,100,116,702,3,18,137,207,25,16,788,121,190,744
80,14,11,163,4,650,78,35,23,850,125,39,80,147
81,16,12,166,4,650,83,38,23,850,125,40,82,151
82,15,12,77,4,675,37,11,25,850,125,10,68,100
83,15,21,192,1,625,57,33,21,850,225,17,63,137
84,16,11,164,4,650,80,38,23,850,125,40,81,149
85,19,13,140,1,625,63,28,14,850,250,14,57,192
86,35,29,212,3,11,103,75,23,50,525,81,126,366
87,875,900,900,3,675,12,900,22,850,900,900,875,875
88,875,12,37,3,675,60,12,22,850,68,11,51,91
89,54,27,268,3,11,119,85,25,29,400,48,165,379
90,100,27,358,3,12,148,108,25,32,568,62,186,415
91,15,23,195,1,625,56,33,21,850,225,17,63,138
92,875,900,18,4,675,48,900,25,825,58,900,25,45
93,15,10,159,4,650,78,34,23,850,125,38,79,145
94,900,900,40,3,675,26,900,25,18,32,11,10,30
95,875,10,33,3,450,54,16,19,650,72,13,26,62
96,875,10,105,1,600,96,34,12,825,122,40,62,131
97,48,27,225,3,14,92,67,25,850,324,27,113,270
98,900,900,900,3,675,900,900,25,850,900,900,900,900
99,12,900,86,3,675,65,33,25,850,125,27,40,102
100,125,275,721,1,23,212,263,24,24,817,219,233,884
