0,21,180,1,900,217,421
1,825,48,1,106,900,45
2,825,106,1,604,228,175
3,850,49,1,38,18,14
4,20,253,1,900,162,460
5,825,203,1,560,53,394
6,300,92,0,126,28,277
7,825,56,1,21,900,27
8,50,208,1,900,342,301
9,850,98,1,222,18,128
10,26,214,1,900,286,374
11,825,78,1,69,900,40
12,825,92,1,160,21,57
13,225,71,0,69,15,107
14,18,216,1,900,122,308
15,825,163,1,549,35,179
16,50,203,1,900,334,288
17,850,64,1,149,22,391
18,825,90,1,143,53,42
19,825,51,1,26,900,10
20,26,165,1,900,345,233
21,19,239,1,900,156,423
22,825,230,1,613,68,464
23,850,126,1,643,96,131
24,825,67,1,10,900,900
25,20,235,1,900,346,563
26,11,196,1,743,85,255
27,825,117,1,429,48,236
28,825,51,1,10,900,13
29,750,38,1,22,900,900
30,75,171,0,598,58,342
31,825,198,1,682,88,572
32,50,305,1,900,322,497
33,825,181,1,588,68,512
34,350,34,1,43,11,900
35,19,236,1,900,164,433
36,800,30,1,900,900,900
37,150,21,0,900,300,900
38,850,48,1,105,11,26
39,850,129,1,598,78,124
40,825,121,1,206,16,81
41,50,288,1,900,410,630
42,825,63,1,59,900,31
43,825,89,1,293,28,72
44,825,133,1,489,49,138
45,50,12,0,824,123,900
46,775,62,1,52,10,12
47,50,209,1,900,381,280
48,825,84,1,134,900,66
49,700,35,1,96,17,125
50,850,14,1,900,900,900
51,500,900,0,900,900,900
52,825,129,1,470,34,129
53,18,203,1,860,119,311
54,10,109,1,246,46,71
55,850,102,1,231,19,115
56,450,41,1,900,900,900
57,825,142,1,527,41,143
58,17,165,1,800,187,151
59,825,73,1,264,52,59
60,825,115,1,352,49,260
61,825,82,1,213,24,89
62,825,218,1,598,69,454
63,825,68,1,72,900,32
64,825,230,1,613,68,464
65,825,145,1,411,36,173
66,825,44,1,22,900,900
67,825,900,1,15,900,900
68,850,88,1,172,26,28
69,75,51,0,48,900,38
70,50,289,1,900,241,366
71,850,75,1,235,26,199
72,850,97,1,279,36,412
73,250,96,0,227,41,532
74,825,72,1,79,900,32
75,825,136,1,296,22,130
76,825,48,1,79,900,15
77,10,110,1,543,93,95
78,825,27,1,34,900,900
79,11,201,1,730,72,248
80,825,98,1,221,40,80
81,75,109,0,72,900,31
82,16,201,1,900,125,306
83,27,167,1,900,325,235
84,825,117,1,205,20,140
85,825,73,1,96,900,32
86,50,214,1,900,366,338
87,825,158,1,529,68,381
88,25,900,0,900,178,900
89,850,81,1,163,22,38
90,11,132,1,900,268,195
91,850,67,1,222,32,47
92,21,254,1,900,205,414
93,825,114,1,389,32,101
94,50,198,1,900,392,280
95,825,129,1,222,22,207
96,50,307,1,900,284,479
97,14,127,1,324,70,129
98,825,65,1,81,17,25
99,10,112,1,719,103,155
100,825,181,1,475,47,341
101,75,76,0,900,870,900
102,825,161,1,528,30,168
103,18,168,1,875,200,192
104,825,155,1,514,25,170
105,825,95,1,297,103,118
106,850,94,1,192,16,87
107,50,193,1,900,392,263
108,75,121,0,194,12,79
109,850,122,1,787,105,173
110,825,210,1,572,70,481
111,12,173,1,652,62,184
112,825,25,1,31,900,900
113,800,25,1,900,900,900
114,825,134,1,398,44,259
115,850,70,1,209,43,49
116,850,120,1,576,82,114
117,825,41,1,13,900,13
118,825,51,1,73,16,18
119,825,64,1,59,900,31
120,825,92,1,191,14,331
121,775,82,1,142,23,145
122,16,218,1,900,119,329
